pathb,Node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
path0,N0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
path1,N1,0.0009786042,0.0010584764,0.0011981513,0.00045628636,-0.0013804818,9.7841614e-05,-0.0012729103,0.00070945546,0.0009852139,-7.7956196e-05,-0.011772434,0.00043833832,2.3227016e-05,0.00031958596,0.00078386953,-0.047534034,7.764982e-05,0.000563824,-0.00039662077,0.0079355445,0.00078340137,0.00049051846,-0.0007764853,0.0009092708,-0.0007759468
path10,N2,0.0,0.0,0.0,6.091654e-05,0.0,5.7969854e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8756123e-05,0.0,0.0082348185,0.0,5.1153307e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.0719638e-05
path11,N3,-0.00026827428,-0.0005233692,0.00067332224,0.0005480709,0.001192246,0.0005246775,0.0002477517,0.00045547524,2.070171e-05,0.00050179363,-7.049869e-05,0.00031564792,0.00028653472,0.0004921478,-4.530867e-05,-0.0059665553,0.0,0.0005628301,0.0005656129,-0.0023257998,0.00057307153,0.0004050019,-0.006042462,0.0004619974,0.00040124447
path12,N4,8.015902e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4058812e-05,0.0,9.942531e-06,0.003386266,0.0,0.0,0.0,0.0,0.0,0.0,0.0
path13,N5,-5.9566833e-06,1.2932759e-05,-5.1711097e-05,-5.837525e-06,2.1284997e-05,-2.50311e-05,3.5063844e-05,1.3989249e-05,-1.4404801e-05,0.0,-2.1675623e-06,-3.2979293e-05,1.7621905e-05,-8.429256e-06,0.0,0.00011572862,-2.1683687e-05,-0.0005542166,-8.8070765e-06,0.0,3.699337e-05,-1.5043217e-06,0.0,-2.422333e-05,5.698509e-05
path14,N6,-8.098362e-07,1.7565628e-05,0.00061854767,4.0602237e-05,1.7114531e-05,1.8607472e-05,0.0,2.3002991e-05,3.002017e-05,1.4560194e-05,0.0,4.8484955e-05,0.0,4.8152004e-05,0.0,0.0,0.0,-7.971868e-05,-1.5274823e-05,4.2824573e-05,3.536228e-05,2.246273e-05,0.0,1.2194611e-05,4.1284875e-06
path15,N7,-3.1704945e-05,0.0,0.0,0.0,0.0,-8.414713e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027766174,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009039778
path16,N8,-0.00083789555,-0.0015282637,0.0,0.0,0.0,0.0,0.0,-0.1360979,0.0,0.0,-0.10637764,-0.008623203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014952251
path17,N9,0.000118268166,0.0,-0.33947754,0.0,-0.027722381,0.0,0.0,-0.014425536,0.0,0.0,-0.19487041,0.0,0.0,0.0,0.0,-0.0025542022,0.0,-0.028124098,0.00022896998,-0.06979352,0.0,0.0,0.0,0.0,0.0
path18,N10,0.0,0.0,0.0,0.0,-0.009366496,0.0,0.0,-0.018464996,0.0,0.0,0.0,-0.0020329813,0.0,-4.184064e-05,0.0,-0.047876537,0.0,0.0,-0.0044239406,0.0,-0.0009931816,-3.5273777e-05,0.0,-9.9890356e-05,0.0
path19,N11,0.0,-0.0069718896,-0.045229647,0.0,0.0,-0.00025566755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019488662,-0.0054064845,0.0,0.0,0.0,0.0,0.0,0.0
path2,N12,0.0,0.00050979835,0.0,0.00066546374,0.00035311753,-4.1911946e-05,0.00024098495,0.0,0.0,0.0,0.014915079,0.00036416834,0.0,0.0,0.0,0.0,0.0,-0.0039150715,0.00089570833,0.0,0.00027223054,0.0,0.0,0.0,-0.0006051235
path20,N13,0.0,0.0,0.022057552,0.0,0.0,-0.00022144035,-1.2975307e-05,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018936748,0.0,0.0,0.0,-0.025510471,-0.00094345736,0.0,-0.0035708323,0.0,0.0,0.0,0.0
path21,N14,0.0,0.0,-0.012398748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00015256071,-0.000104139945,0.0,0.0,0.0,0.0,0.0,0.0
path22,N15,0.0,0.0,-0.00049579673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
path23,N16,-0.00015301377,0.0020736784,-0.0490325,-0.0077747963,-0.023720939,-0.001287683,0.002367577,-0.02474447,-0.0025103253,3.331233e-05,0.0010839939,0.0020304758,0.00010648507,-0.003287207,0.00038966656,-0.101230465,0.00044176815,-0.065507606,-0.009031093,-0.07990766,-0.007299885,-0.0015835196,0.008368517,-0.008056468,-0.017111123
path24,N17,0.0,0.0,-0.30340534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.307507e-05,0.0,0.0,0.0,-0.0913131,0.0,0.0,0.0,0.0,0.0,0.0,-0.055630293
path25,N18,0.0014786025,0.004091048,0.08005132,0.0048042666,0.011093193,0.0038246114,0.0012516833,0.04058985,0.0046860687,7.192567e-05,-0.042210937,0.0045587057,0.0026185573,0.0064375876,-1.1248481e-05,0.058396712,0.0016342844,0.0036289908,0.0038663952,0.006083049,0.008829531,0.0011321122,-0.0003366087,0.00395002,0.008634057
path26,N19,0.0006025996,0.0001867525,0.03186194,0.004298017,-0.0031362611,0.0029621944,0.0019889432,-0.029536454,0.004205222,-1.8326635e-05,-0.012981517,-0.00092587364,6.893534e-05,0.005360762,-4.0135596e-06,0.024717584,0.0013477807,0.0082558645,-0.00066005456,-0.0021484352,0.0029879138,0.001757209,-0.0018518625,0.0040422264,0.0060255905
path27,N20,0.0,0.0,0.0,-0.00037079252,0.0,-0.0007189434,0.0,0.0,0.0,0.0,0.0,0.0,-0.0027493425,-0.0030131985,0.0,-0.11328165,0.0,0.0,0.00054991426,0.0,0.0,0.0,0.0,0.00045860093,0.0
path28,N21,0.00223842,0.0030589087,-0.02222019,0.0040691933,0.0075515937,0.0011145617,0.0030473801,0.0026979377,0.0024829193,0.0011883781,-0.17856911,0.006151342,0.0006229993,0.0031161797,0.0011955362,-0.08399531,0.0009611963,0.003154735,0.003149859,0.009381058,0.0046561104,0.001746144,-0.0034279749,0.0012594131,0.0071323123
path29,N22,9.334146e-05,-0.0012023089,-0.1491044,-0.010316445,-0.0072031636,-0.0044393623,-0.0047029695,-0.097607315,-0.007931776,0.0,0.0,0.00021397098,-0.00020728531,-0.012215357,-8.542489e-05,-0.07576175,-1.9138912e-05,0.006759209,0.00031292264,-0.060555708,-0.015088738,-0.0009791752,-0.00026461217,-0.0070936033,-0.012840158
path3,N23,0.00015781702,6.5254826e-05,0.005775998,0.00033731828,0.00053551514,0.00018880921,0.00012111248,0.000510184,0.0,4.2055624e-05,5.1824936e-06,3.6987767e-05,1.4466153e-05,0.0002960021,8.100109e-05,0.0,0.0,7.122376e-05,4.0453313e-05,0.0009782529,3.9846123e-05,-6.0194316e-06,0.00051509787,3.6524794e-05,0.00037833335
path30,N24,0.00042335957,0.0022647565,0.0976074,0.0,0.0,0.0,0.0,0.045604847,0.0,0.0,0.0,-0.0022330005,0.0,0.0,0.0,0.0,0.0,0.008530284,-0.01061869,0.016922502,0.0019447973,0.0002728064,0.0,-0.0020422132,0.004567039
path31,N25,0.0,0.0001427307,0.0,0.00079988054,0.0,0.0028118342,0.0,0.0,0.00065922446,0.0,0.0,0.0,0.0,0.00362828,0.0,0.0,0.0010070576,0.023612192,0.0,0.0,0.0,0.00034356694,0.0,0.0038440959,0.009284262
path32,N26,0.0,0.0,0.0,-0.00014456012,0.0,0.0,0.0,0.006526002,0.0,0.0,0.0,0.00017353296,0.0,-0.0004571831,0.0,0.0,0.0,7.2996765e-05,5.037038e-05,0.0,0.00015240154,-3.2057392e-07,0.0,-0.00011642462,0.0
path33,N27,8.939274e-05,-0.00031011348,-0.00048373645,0.00032593944,-0.00023535811,-9.2413466e-05,0.00035251473,-0.0029532008,-0.00045946625,0.0,-0.008159993,-0.00040167547,-5.0377515e-05,-0.00054082845,-1.7222077e-05,-0.008373002,-0.00024536872,-0.00027343657,-0.00018901794,-0.00094559835,0.00047058263,-0.00010836439,-0.0007724069,0.00034316274,-0.00069469435
path34,N28,0.0,0.0,0.0,0.0022609849,0.0,5.740811e-05,0.00026824768,0.022656353,0.00039376167,0.0,0.0,0.0,0.0,0.010228666,0.0,0.0,0.0,0.0016132,0.0021642882,0.0,0.010723595,0.0,0.0,0.0,0.0049797744
path35,N29,-6.872136e-05,-0.0042161187,0.004582484,-0.0006092633,-0.0006533386,0.0012988965,0.0008292644,-0.025397837,-0.00175838,0.00032811164,-0.099311635,-0.009669156,0.0002084957,-0.0016598162,-3.4538556e-05,-0.1043299,-0.00020175768,-0.0016669203,-0.0076676193,-0.04427958,-0.007825663,0.0018869817,0.002245554,0.0007586622,0.0010849983
path36,N30,0.0,-0.00060086884,-0.021131257,0.0,0.0,0.0,0.0,-0.08129616,0.0,0.0,0.0,0.0,0.0,-0.00019107378,0.0,0.0,0.0,0.0,-0.0011704899,-0.016386967,-0.001142174,0.0,0.0,0.0,0.0
path37,N31,0.0013949228,0.0033583369,0.2999559,0.00920136,0.017105041,0.0016023389,0.0031724176,0.11111103,0.0043788734,0.0,0.0,0.015146672,0.0,0.00015141862,0.0,0.0,0.0,0.007982781,0.01503502,0.033238415,0.017875787,0.00023307449,0.0,0.004732672,0.008807829
path38,N32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07853377,0.00050929835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
path39,N33,0.00024429586,-0.0011726104,-0.0066857007,-0.0019399612,-0.0024248809,0.00018756287,0.00052211375,-0.00963155,5.009018e-05,-6.740382e-05,-0.002739871,-0.0031453297,-0.0001080363,-0.0023368662,-0.00011043201,-0.0069098705,-0.00016089203,-0.00079064164,-0.00042134812,-0.009257463,-0.0029078105,-0.00039582915,-0.00017266671,-0.000690486,-0.0034670997
path4,N34,0.00049082725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044463304,0.0,0.0,0.0,5.7801786e-05,0.0,0.0,0.0,0.0005842145,0.0,0.0,0.0,0.0009658994,0.0,0.0,0.0,0.0
path40,N35,0.00037896814,0.0003767592,-0.03403697,0.0012378589,0.0019146827,0.0005567065,0.0003349171,-0.0110879745,0.00031807757,0.0,0.0,0.0013045896,-2.3133589e-05,0.0014877488,-0.000116142895,-0.008061048,0.0,0.00070281577,0.0008060485,-9.619912e-07,0.0011979843,0.00016469375,-0.0004030106,0.00081324915,0.001835949
