pathc,Node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
hsa00010,N0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00020,N1,0.00012343263,-7.0965143e-06,0.00021963155,-2.8300385e-06,0.0020141322,-4.49267e-06,0.0,0.00010318259,0.00015231661,0.0,0.0,-4.408227e-06,0.0,0.00045983744,0.0,0.0,7.7649835e-05,0.00010160601,3.599441e-05,0.0,0.0002737466,9.44496e-05,0.0,0.00013337616,0.0007287952
hsa00030,N2,-1.0676595e-05,-1.8967131e-06,0.0,-8.7147e-05,-0.0001687182,-7.254016e-05,-7.103735e-05,0.0,0.0,0.0,0.0,0.0,0.0,-9.308613e-05,0.0,0.0,0.0,-2.5927828e-05,0.0,0.0,-3.5535766e-05,-1.9981391e-05,0.0,0.0,-0.00010363261
hsa00040,N3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1854035e-05,0.0,0.0,-0.03482461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029783994
hsa00051,N4,-0.00041785114,0.0,0.0,-0.0004994919,-0.0043496527,-0.000510095,-0.0012732751,0.0,0.0,0.0,0.0,0.0,3.1954954e-05,2.8940216e-05,0.0,0.0,0.0,-0.0001425932,-0.00024694734,0.0,-0.00041992316,-0.00015700555,0.0,-0.00022407425,-0.00090108707
hsa00052,N5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032198793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017191658
hsa00053,N6,0.0,0.0,0.0,0.0,0.0,0.0,-1.164779e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011286997
hsa00061,N7,1.9709842e-05,2.2918324e-05,0.0,1.7850693e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1650621e-05,0.0,0.0,0.0,5.9988056e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa00062,N8,8.9081324e-05,0.0,0.0,0.00012649702,0.0,8.7792214e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014271028,0.0,0.0,0.0,1.2530206e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00014213962
hsa00071,N9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.150168e-05,0.0,0.0,0.0,0.0,0.00094808906,0.0,0.0,6.247623e-05,0.0,0.0
